k,distance_func,voting_func,weighting_func,accuracy,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.95,484,466,28,22,5.435943603515625e-05,0.051741600036621094
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,8.392333984375e-05,0.05061817169189453
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7,327,373,121,179,8.96453857421875e-05,0.051064491271972656
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.95,484,466,28,22,9.775161743164062e-05,0.05092191696166992
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,6.628036499023438e-05,0.05196189880371094
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7,327,373,121,179,9.584426879882812e-05,0.05323982238769531
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.95,484,466,28,22,9.012222290039062e-05,0.05150175094604492
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.506,506,0,494,0,7.009506225585938e-05,0.051774024963378906
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7,327,373,121,179,0.00011444091796875,0.0711679458618164
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.901,455,446,48,51,0.00010633468627929688,0.060513973236083984
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.532,491,41,453,15,0.00011968612670898438,0.060108184814453125
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.646,273,373,121,233,5.626678466796875e-05,0.05898427963256836
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.901,455,446,48,51,5.5789947509765625e-05,0.058164119720458984
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.532,491,41,453,15,0.00010061264038085938,0.059215545654296875
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.646,273,373,121,233,0.00011968612670898438,0.060042381286621094
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.901,455,446,48,51,6.723403930664062e-05,0.05942869186401367
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.532,491,41,453,15,7.200241088867188e-05,0.059175968170166016
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.646,273,373,121,233,5.1975250244140625e-05,0.05843973159790039
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.807,398,409,85,108,5.245208740234375e-05,0.04984569549560547
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.606,215,391,103,291,4.9591064453125e-05,0.05072021484375
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.599,359,240,254,147,5.0067901611328125e-05,0.04998016357421875
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.807,398,409,85,108,5.1975250244140625e-05,0.049971580505371094
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.606,215,391,103,291,5.1975250244140625e-05,0.049642086029052734
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.599,359,240,254,147,5.5789947509765625e-05,0.04941415786743164
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.807,398,409,85,108,5.054473876953125e-05,0.04938364028930664
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.606,215,391,103,291,4.9591064453125e-05,0.04981803894042969
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.599,359,240,254,147,5.0067901611328125e-05,0.04949617385864258
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.926,468,458,36,38,5.0067901611328125e-05,0.0502934455871582
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,4.9591064453125e-05,0.05008649826049805
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.733,335,398,96,171,4.8160552978515625e-05,0.049918174743652344
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.928,470,458,36,36,5.5789947509765625e-05,0.04993247985839844
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.05059194564819336
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.733,335,398,96,171,6.771087646484375e-05,0.05045604705810547
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.951,483,468,26,23,9.012222290039062e-05,0.05208158493041992
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.506,506,0,494,0,6.008148193359375e-05,0.05035400390625
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7,327,373,121,179,5.1975250244140625e-05,0.05193948745727539
3,EuclideanDistance,MajorityClassVote,EqualWeighting,0.872,431,441,53,75,5.054473876953125e-05,0.05844545364379883
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.05824565887451172
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.637,300,337,157,206,5.1975250244140625e-05,0.058112144470214844
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.876,433,443,51,73,5.1975250244140625e-05,0.05796003341674805
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.05863618850708008
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.637,300,337,157,206,5.054473876953125e-05,0.0586395263671875
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.899,452,447,47,54,5.0067901611328125e-05,0.058171749114990234
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.526,491,35,459,15,5.054473876953125e-05,0.058443546295166016
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.646,273,373,121,233,5.3882598876953125e-05,0.058446407318115234
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.742,348,394,100,158,5.0067901611328125e-05,0.05003023147583008
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.541,140,401,93,366,5.14984130859375e-05,0.05009651184082031
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.631,317,314,180,189,5.7697296142578125e-05,0.0505366325378418
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.768,367,401,93,139,5.0067901611328125e-05,0.050266265869140625
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.541,140,401,93,366,8.726119995117188e-05,0.05191850662231445
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.631,317,314,180,189,6.198883056640625e-05,0.0504460334777832
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.792,382,410,84,124,9.5367431640625e-05,0.05164194107055664
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.606,213,393,101,293,0.00010442733764648438,0.05203390121459961
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.599,359,240,254,147,5.245208740234375e-05,0.04974555969238281
5,ManhattanDistance,MajorityClassVote,EqualWeighting,0.927,460,467,27,46,9.5367431640625e-05,0.05331850051879883
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,7.82012939453125e-05,0.051238059997558594
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.735,294,441,53,212,6.771087646484375e-05,0.05096006393432617
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.933,465,468,26,41,6.198883056640625e-05,0.05079364776611328
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,5.054473876953125e-05,0.05018329620361328
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.735,294,441,53,212,5.0067901611328125e-05,0.04984617233276367
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.951,483,468,26,23,5.0067901611328125e-05,0.05022430419921875
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.506,506,0,494,0,4.8160552978515625e-05,0.05065011978149414
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7,327,373,121,179,5.0067901611328125e-05,0.05092954635620117
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.872,422,450,44,84,4.9591064453125e-05,0.058768272399902344
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.058629512786865234
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.687,313,374,120,193,4.9591064453125e-05,0.05850839614868164
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.881,427,454,40,79,4.9591064453125e-05,0.058274269104003906
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,4.8160552978515625e-05,0.058617591857910156
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.687,313,374,120,193,5.0067901611328125e-05,0.05869436264038086
5,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9,451,449,45,55,5.0067901611328125e-05,0.05952024459838867
5,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.526,491,35,459,15,4.9591064453125e-05,0.058228492736816406
5,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.646,273,373,121,233,5.0067901611328125e-05,0.05899381637573242
5,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.74,331,409,85,175,4.9591064453125e-05,0.0502619743347168
5,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.674,313,361,133,193,5.1975250244140625e-05,0.05006599426269531
5,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.668,370,298,196,136,4.8160552978515625e-05,0.05005645751953125
5,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.773,356,417,77,150,4.9591064453125e-05,0.050562381744384766
5,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.674,313,361,133,193,4.76837158203125e-05,0.05042409896850586
5,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.668,370,298,196,136,8.153915405273438e-05,0.05007028579711914
5,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.805,381,424,70,125,5.3882598876953125e-05,0.05086183547973633
5,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.596,215,381,113,291,5.1975250244140625e-05,0.05065584182739258
5,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.599,359,240,254,147,5.0067901611328125e-05,0.05052757263183594
7,ManhattanDistance,MajorityClassVote,EqualWeighting,0.922,452,470,24,54,5.0067901611328125e-05,0.05057191848754883
7,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,4.9591064453125e-05,0.05053424835205078
7,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.736,279,457,37,227,4.9591064453125e-05,0.05069446563720703
7,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.93,459,471,23,47,4.8160552978515625e-05,0.05033540725708008
7,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,4.9591064453125e-05,0.04993629455566406
7,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.736,279,457,37,227,5.5789947509765625e-05,0.04997968673706055
7,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.951,483,468,26,23,4.7206878662109375e-05,0.05075407028198242
7,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.050640106201171875
7,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7,327,373,121,179,4.8160552978515625e-05,0.05072212219238281
7,EuclideanDistance,MajorityClassVote,EqualWeighting,0.869,415,454,40,91,4.9591064453125e-05,0.05836009979248047
7,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.508,503,5,489,3,5.0067901611328125e-05,0.05795574188232422
7,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.722,284,438,56,222,5.0067901611328125e-05,0.05826997756958008
7,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.878,421,457,37,85,4.9591064453125e-05,0.057970523834228516
7,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.508,503,5,489,3,4.8160552978515625e-05,0.05775165557861328
7,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.722,284,438,56,222,4.9591064453125e-05,0.0584864616394043
7,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9,451,449,45,55,7.62939453125e-05,0.058531761169433594
7,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.526,491,35,459,15,5.0067901611328125e-05,0.058981895446777344
7,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.646,273,373,121,233,4.9591064453125e-05,0.058820247650146484
7,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.753,325,428,66,181,4.76837158203125e-05,0.05043792724609375
7,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.644,290,354,140,216,4.9591064453125e-05,0.05029010772705078
7,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.675,329,346,148,177,5.0067901611328125e-05,0.050454139709472656
7,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.782,350,432,62,156,4.8160552978515625e-05,0.05019807815551758
7,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.644,290,354,140,216,5.0067901611328125e-05,0.04997968673706055
7,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.675,329,346,148,177,5.1975250244140625e-05,0.04989004135131836
7,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.814,382,432,62,124,4.9591064453125e-05,0.04991436004638672
7,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.613,239,374,120,267,5.054473876953125e-05,0.05042552947998047
7,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.599,359,240,254,147,4.76837158203125e-05,0.0500941276550293
