model,dataset,ARI,Purity,DBI,F1 Score,k,min_samples,max_eps,cluster_method,n_clusters,gamma,random_state
kmeans,hepatitis,0.07651723628473803,0.34838709677419355,1.7751805750417062,0.08858377828629545,10,,,,,,
kmeans,hepatitis,0.1502892999645793,0.6967741935483871,1.8971246967877295,0.6615563298490128,2,,,,,,
kmeans,hepatitis,0.0859929628018935,0.47096774193548385,2.3622143770356328,0.38286141482104474,3,,,,,,
kmeans,hepatitis,0.04720228749415462,0.4129032258064516,1.9172143704201643,0.26724397590361443,4,,,,,,
kmeans,hepatitis,0.05448742243858017,0.3419354838709677,2.3539827058722786,0.16726546906187623,5,,,,,,
kmeans,hepatitis,0.020652599739171804,0.3032258064516129,2.5226532599506357,0.15555555555555556,6,,,,,,
kmeans,hepatitis,0.04034315013104266,0.2838709677419355,2.6427513523728803,0.12094572094572095,7,,,,,,
kmeans,hepatitis,0.0336014498408136,0.2903225806451613,2.488677256845345,0.1225,8,,,,,,
kmeans,hepatitis,0.03773623093863386,0.2129032258064516,2.5947016121688686,0.07770219198790627,9,,,,,,
kmeans,mushroom,0.2786005109470757,0.4293451501723289,1.7581562947937577,0.12023652813472911,10,,,,,,
kmeans,mushroom,0.12544169595635088,0.8404726735598228,1.6703516293627538,0.629954517094268,2,,,,,,
kmeans,mushroom,0.4711530240463399,0.7298129000492368,1.7398124468466314,0.5062745019538815,3,,,,,,
kmeans,mushroom,0.3096430537786964,0.4916297390448055,1.98317064853609,0.30687175357381713,4,,,,,,
kmeans,mushroom,0.41513077155035893,0.6125061546036435,2.049630688536828,0.29945742488823435,5,,,,,,
kmeans,mushroom,0.2598140756750818,0.397341211225997,2.4456109906795658,0.1877716419887956,6,,,,,,
kmeans,mushroom,0.19213936362625816,0.3495814869522403,2.8366061589502136,0.14427572755427873,7,,,,,,
kmeans,mushroom,0.21329533293345385,0.3229935992122107,2.2578213748168126,0.11987464820652514,8,,,,,,
kmeans,mushroom,0.27607860976937654,0.4529788281634663,2.4617720993880186,0.13816959453406452,9,,,,,,
kmeans,synthetic,0.6399611175935511,0.594,2.533875901929121,0.3622754147955384,10,,,,,,
kmeans,synthetic,0.37298797379651505,0.999,0.4255126519088969,0.23323663731078156,2,,,,,,
kmeans,synthetic,0.6106027214929445,0.998,2.8110383763013544,0.46666962966255177,3,,,,,,
kmeans,synthetic,0.5505769396921996,0.912,9.699176314685019,0.4118925595988575,4,,,,,,
kmeans,synthetic,0.9497004829800147,0.979,0.5694068630370042,0.9789798189380958,5,,,,,,
kmeans,synthetic,0.8857675895794344,0.882,0.6424040505786385,0.7629815915030393,6,,,,,,
kmeans,synthetic,0.6841967719447637,0.878,1.3757558820683913,0.4622048163203013,7,,,,,,
kmeans,synthetic,0.7823635358819484,0.782,3.2293354516813624,0.5358124672639527,8,,,,,,
kmeans,synthetic,0.7294213466091212,0.681,2.1087928623717604,0.43397031324476765,9,,,,,,
optics,synthetic,0.0,1.0,,0.06666666666666667,,10,2.0,dbscan,,,
optics,synthetic,-0.0019242085427135678,0.223,0.31521926633782826,0.22000000000000003,,10,2.0,xi,,,
optics,synthetic,0.0,1.0,,0.0,,10,inf,dbscan,,,
optics,synthetic,-0.0019242085427135678,0.223,0.31521926633782826,0.22000000000000003,,10,inf,xi,,,
optics,synthetic,0.0,1.0,,0.06666666666666667,,3,2.0,dbscan,,,
optics,synthetic,2.9809887920591076e-05,0.957,1.1875103534413338,0.003020306265742371,,3,2.0,xi,,,
optics,synthetic,0.0,1.0,,0.0,,3,inf,dbscan,,,
optics,synthetic,2.9809887920591076e-05,0.957,1.1875103534413338,0.003020306265742371,,3,inf,xi,,,
optics,synthetic,0.0,1.0,,0.06666666666666667,,5,2.0,dbscan,,,
optics,synthetic,-0.0019325826786337902,0.223,1.1002476955979836,0.13327697262479873,,5,2.0,xi,,,
optics,synthetic,0.0,1.0,,0.0,,5,inf,dbscan,,,
optics,synthetic,-0.0019325826786337902,0.223,1.1002476955979836,0.13327697262479873,,5,inf,xi,,,
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,0.5,1337
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,0.5,42
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,0.5,
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,1,1337
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,1,42
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,1,
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,2,1337
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,2,42
spectral_clustering,synthetic,-0.0009560620300751879,0.6,1.1748040843813192,0.11966666666666667,,,,,2,2,
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,0.5,1337
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,0.5,42
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,0.5,
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,1,1337
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,1,42
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,1,
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,1337
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,42
spectral_clustering,synthetic,-0.001431532416502947,0.4,0.5871195380471854,0.192,,,,,4,2,
spectral_clustering,synthetic,-0.0020161367706938702,0.21,3.2089999300880647,0.11942847281636462,,,,,8,0.5,1337
spectral_clustering,synthetic,-0.001563567208152404,0.211,3.968429796068,0.1165110000374901,,,,,8,0.5,42
spectral_clustering,synthetic,-0.00129602748729392,0.209,3.3210432795580473,0.11926223200057945,,,,,8,0.5,
spectral_clustering,synthetic,-0.0018324039377450889,0.209,2.327335285127269,0.12019819689093873,,,,,8,1,1337
spectral_clustering,synthetic,-0.0018324039377450889,0.209,2.327335285127269,0.12019819689093873,,,,,8,1,42
spectral_clustering,synthetic,-0.002013942532413576,0.209,2.319381390086324,0.12002164209644772,,,,,8,1,
spectral_clustering,synthetic,-0.001308823600136923,0.219,2.1471942221221925,0.12261868848027443,,,,,8,2,1337
spectral_clustering,synthetic,-0.001308823600136923,0.219,2.1471942221221925,0.12261868848027443,,,,,8,2,42
spectral_clustering,synthetic,-0.001214395445729969,0.219,2.148375813481682,0.12274970556101977,,,,,8,2,
kmeans,vowel,-0.008222614707572776,0.2,1.1119765212380632,0.08150633150633149,10,,,,,,
kmeans,vowel,-0.0018269338992478578,0.5333333333333333,1.981499561342364,0.02795579262442918,2,,,,,,
kmeans,vowel,-0.002519858200706706,0.5333333333333333,1.9257361263096726,0.036936823344590336,3,,,,,,
kmeans,vowel,-0.004624773922881895,0.26666666666666666,1.603100391289487,0.04834360554699538,4,,,,,,
kmeans,vowel,-0.004979459728619445,0.3333333333333333,1.7503748207544607,0.05479769886549548,5,,,,,,
kmeans,vowel,-0.005585961036352682,0.26666666666666666,1.327137247113579,0.059830972966566184,6,,,,,,
kmeans,vowel,-0.007166295779428959,0.2,1.649386676377351,0.06903231903231903,7,,,,,,
kmeans,vowel,-0.006303679773067528,0.26666666666666666,1.1338871813900309,0.06944635758195081,8,,,,,,
kmeans,vowel,-0.006573088503456172,0.26666666666666666,1.159601107941035,0.07360436173995497,9,,,,,,
